,model_tag,chi2_p_means,chi2_p_ranges,combined_p_means,effect_ranges,effect_means,combined_p_ranges
0,resnet18,1.5083582111516351e-05,0.001143161953061302,0.0021357888990477343,1.3011133131346886,3.286505837906967,0.11175264034138034
1,vgg16,1.5583053577962233e-40,1.615430386457048e-23,9.809256390394357e-13,1.9664260012820385,7.555548344374562,0.9999988782384481
