,is_unpruned,model_tag,network,chi2_categorical_ps_entropy,chi2_categorical_ps_loss,combined_ps_entropy,combined_ps_loss,effect_factor_entropy,effect_factor_loss
0,False,MNIST+LUCID,MLP,0.8343082601934075,0.9114125268316792,0.6415488375712914,0.575252741899609,5.220405839387555e+30,1.1092274188995361
1,False,MNIST+LUCID,MLP,0.3654040928300495,0.6276548982847232,0.3768297855194327,0.8210812168793505,5.425441849572244e+28,1.1911119222640991
2,False,MNIST+LUCID,MLP,0.18427526744562928,0.809915380538041,0.7804189426550313,0.3374538142039533,4.9014489500767434e+26,1.6867583990097046
3,False,MNIST+LUCID,MLP,0.03818728984164265,0.43727418891386693,0.01949422084595207,0.4700368042069645,5.883314903692726e+26,1.0611636638641357
4,False,MNIST+LUCID,MLP,0.80433676754883,0.8961869289517728,0.3763244668120227,0.6199879322465627,1.634509145685107e+21,1.3477494716644287
5,False,MNIST+DROPOUT+LUCID,MLP,0.35435400332313916,0.9518824772793133,0.30521596988926786,0.7708446612269693,7.588679430754417e+30,3.2846527099609375
6,False,MNIST+DROPOUT+LUCID,MLP,0.5341462169096916,0.8099153805380409,0.3528121777909166,0.8500542084987179,2.3846084334216135e+21,3.7509498596191406
7,False,MNIST+DROPOUT+LUCID,MLP,0.010105719714519984,0.23459409020026478,0.9639148755895836,0.7608062163184057,4.1178159510279805e+24,1.4518795013427734
8,False,MNIST+DROPOUT+LUCID,MLP,3.7657936544264395e-09,0.4846458858263931,0.000585110819527794,0.6810729163944791,1.940842921552192e+28,19.092426300048828
9,False,MNIST+DROPOUT+LUCID,MLP,0.9745547280250874,0.7110171583910967,0.6139545688715314,0.4951740109489769,3.232920065360654e+31,1.2815519571304321
10,True,CNN-MNIST+LUCID,CNN,0.13468638580484996,0.0909359765798051,0.7814156088626029,0.726157873036777,3.4515788555145264,2.1741740703582764
11,True,CNN-MNIST+LUCID,CNN,0.8609221701669533,0.04399437220041841,0.2437335104501925,0.29667271511851684,740.9971313476562,1.014918327331543
12,True,CNN-MNIST+LUCID,CNN,0.13468638580484996,0.9957111996656759,0.4969971006713657,0.5176105012396117,21.740699768066406,1.244136095046997
13,True,CNN-MNIST+LUCID,CNN,0.10340097193580255,0.45056443704175475,0.5043146181331402,0.6714749128788529,672.9381713867188,1.201458215713501
14,True,CNN-MNIST+LUCID,CNN,0.7399182920946537,0.32785411825361865,0.8754544664956344,0.790017530646176,14.233481407165527,1.329242467880249
15,True,CNN-MNIST+DROPOUT+LUCID,CNN,0.5009344477491052,0.1951631285037596,0.5105824127352492,0.24907315406915123,3.208312749862671,1.2393471002578735
16,True,CNN-MNIST+DROPOUT+LUCID,CNN,0.2429858445693046,0.6890190210880667,0.3159777836127734,0.3991787207015457,28.812063217163086,1.5032836198806763
17,True,CNN-MNIST+DROPOUT+LUCID,CNN,0.8543181410004886,0.6248720231654168,0.8998282680654925,0.4006483139542555,2.7368597984313965,1.1883634328842163
18,True,CNN-MNIST+DROPOUT+LUCID,CNN,0.057146468973384365,0.8119932615881182,0.1578825466107586,0.0949427090713805,20.810081481933594,1.1383600234985352
19,True,CNN-MNIST+DROPOUT+LUCID,CNN,0.3950156065111196,0.30067888580544017,0.9571448889400939,0.6360370343264075,1.0835633277893066,1.500785231590271
20,True,CNN-VGG-CIFAR10,CNN-VGG,1.2925525938947358e-23,3.7512383720540237e-11,2.0007976268350684e-07,0.000345298815637292,22.68582534790039,6.396876335144043
21,True,CNN-VGG-CIFAR10,CNN-VGG,2.30931739315002e-25,5.1906805673716146e-17,3.084316763714189e-08,1.4443282828573932e-06,0.728265643119812,12.137090682983398
22,True,CNN-VGG-CIFAR10,CNN-VGG,2.30931739315002e-25,5.6954789823816e-07,6.182423445156862e-08,0.011986153717305624,0.19742780923843384,67.00166320800781
23,True,CNN-VGG-CIFAR10,CNN-VGG,1.2268820978542291e-11,8.973291506105068e-09,0.000148882246510725,0.0017462567245565528,1520406074753024.0,40.483116149902344
24,True,CNN-VGG-CIFAR10,CNN-VGG,1.9236162538638247e-20,2.192059139126496e-13,3.06246823184224e-07,0.00018494558826865148,1.6131163583361843e+17,24.390331268310547
25,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,CNN-VGG,0.11681841871626887,1.733085259352578e-09,0.9254234101956887,0.027421231602008614,65434.47265625,4.286005020141602
26,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,CNN-VGG,0.06158541790605868,3.560204868092777e-05,0.9669102516049098,0.033527531385437695,5249.68212890625,5.0303568840026855
27,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,CNN-VGG,0.0816864093402766,3.192440751216264e-05,0.8908879836936441,0.06558493281141693,85813.34375,7.648377418518066
28,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,CNN-VGG,0.5047995561650933,5.1618296293492724e-05,0.5411118849843839,0.03496971985739598,2358.278564453125,5.6172990798950195
29,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,CNN-VGG,0.06158541790605868,6.982450080359676e-08,0.7777844978170333,0.06405476361868426,63877780.0,8.267369270324707
30,True,vgg16,vgg16,0.2810185177699706,1.4057765128745607e-07,0.11816843148785039,0.0002535640385490378,1.0095118284225464,0.9283389449119568
31,True,vgg19,vgg19,0.8881365879734403,0.0005692415562038016,0.6329973664912641,0.002895186237532906,0.9987465739250183,0.9478812217712402
32,True,resnet50,resnet50,0.8119932615881182,0.43727418891386693,0.4351022091005133,0.35485737623375474,1.0017120838165283,0.9917908906936646
