,model,network_type,Network,Dataset,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
17,MNIST+L2REG,mlp,L2 Reg,MNIST,9.65765142343863,0.1212690577585255,50,9.338386246577604,0.0664019796559518,4.808067146721105,1.0,0.9918000102043152,0.10478688006798427,0.980400025844574,0.15310721807479857
18,MNIST+L2REG,mlp,L2 Reg,MNIST,9.899563398575525,0.10608733521150598,50,9.364608531386974,0.06483346134352108,8.251215593042065,1.0,0.9921333193778992,0.10290625950495402,0.9815999865531921,0.14264667539596557
19,MNIST+L2REG,mlp,L2 Reg,MNIST,9.139068207429549,0.1565220724714952,50,9.388285356378521,0.07404161846289739,-3.365906285177383,0.0196078431372549,0.9914666414260864,0.10491008704503377,0.9758999943733215,0.16877681974172593
20,MNIST+MOD-INIT,mlp,Clusterable Init,MNIST,8.717648494981814,0.18825899592691897,50,10.06842287136466,0.02717612478111478,-49.704451508904086,0.0196078431372549,0.9951500296592712,0.016914509906650832,0.9800000190734863,0.08984975982606411
21,MNIST+MOD-INIT,mlp,Clusterable Init,MNIST,8.775469800694633,0.18372407817129777,50,10.082419799911147,0.03316726062223833,-39.404821944813136,0.0196078431372549,0.9967333078384399,0.011019138776778709,0.9797999858856201,0.09761415576338768
22,MNIST+MOD-INIT,mlp,Clusterable Init,MNIST,8.72495445990846,0.18768267245064224,50,10.059422331554067,0.027407178261113083,-48.69045105380399,0.0196078431372549,0.996566653251648,0.010790230198592569,0.9743000268936157,0.12653648153170943
23,MNIST+MOD-INIT,mlp,Clusterable Init,MNIST,8.716061637661284,0.1883843012392849,50,10.042378438022546,0.0324243736996533,-40.904931970218556,0.0196078431372549,0.9961666464805603,0.011683539386543755,0.9801999926567078,0.1080061667381895
24,MNIST+MOD-INIT,mlp,Clusterable Init,MNIST,8.654883678896494,0.19325021832818043,50,10.07047521528819,0.035352739165000716,-40.041919518166594,0.0196078431372549,0.9967833161354065,0.011431293710845057,0.978600025177002,0.10983160509765148
25,HALVES-SAME-MNIST,mlp,Halves Same,MNIST,10.023773510871516,0.09857697238395906,50,10.117407305036423,0.021864012171956586,-4.282553148456632,0.0196078431372549,0.9991333484649658,0.003527115795182302,0.9940999746322632,0.027000541393482125
26,HALVES-SAME-MNIST,mlp,Halves Same,MNIST,10.07768822416825,0.09537464014919973,50,10.122282538607344,0.025276900336115442,-1.7642319210863617,0.058823529411764705,0.9987499713897705,0.004742132323139352,0.992900013923645,0.04217132355563235
27,HALVES-SAME-MNIST,mlp,Halves Same,MNIST,9.966559726689308,0.10201314842198611,50,10.066261497585911,0.023146372197542304,-4.307446974657628,0.0196078431372549,0.9991166591644287,0.0035953250707830495,0.9922000169754028,0.04054463614388515
28,HALVES-SAME-MNIST,mlp,Halves Same,MNIST,10.079968157608054,0.09523997558180601,50,10.106110996378709,0.03346579687173717,-0.7811808238378809,0.2549019607843137,0.998283326625824,0.006093665758573237,0.9940000176429749,0.023154525437741175
29,HALVES-SAME-MNIST,mlp,Halves Same,MNIST,10.05635735364999,0.0966375088910578,50,10.109960646439609,0.03182206036249222,-1.6844695842761888,0.058823529411764705,0.9988166689872742,0.004489413768805753,0.9936000108718872,0.03372008854180749
30,HALVES-MNIST,mlp,Halves Diff,MNIST,9.905642748339467,0.10571536370073616,50,10.322282286997002,0.08889126502427168,-4.687069517390393,0.0196078431372549,0.9884499907493591,0.03586980357319117,0.9248999953269958,0.41534876798912884
31,HALVES-MNIST,mlp,Halves Diff,MNIST,9.846482043606388,0.10935468865207323,50,10.305776688451553,0.023102902183452734,-19.880387372896017,0.0196078431372549,0.9889000058174133,0.034508268991609414,0.9297999739646912,0.40430689324103297
32,HALVES-MNIST,mlp,Halves Diff,MNIST,9.846465706762505,0.10935569966787469,50,10.330720429195294,0.11813036886279601,-4.0993245606067035,0.0196078431372549,0.9895166754722595,0.03349426876716316,0.9226999878883362,0.3871836184740067
33,HALVES-MNIST,mlp,Halves Diff,MNIST,9.890366913021534,0.1066509011005926,50,10.297192676777815,0.10454866938271525,-3.8912572121509976,0.0196078431372549,0.9880333542823792,0.03663685541773836,0.9272000193595886,0.3744433187365532
34,HALVES-MNIST,mlp,Halves Diff,MNIST,9.880414927258787,0.10726194640336167,50,10.303778287940975,0.12163778745883193,-3.4805250040039963,0.0196078431372549,0.9892833232879639,0.032863193518171706,0.9236000180244446,0.40257166570425035
35,FASHION,mlp,Control,FASHION,9.907945451006258,0.10557458957251685,50,10.073343804431936,0.03150540587725108,-5.24984042643634,0.0196078431372549,0.9386333227157593,0.15811444753011067,0.8873999714851379,0.3839259320020676
36,FASHION,mlp,Control,FASHION,9.856848698309703,0.10871381753368169,50,10.06194495344162,0.041402797016060124,-4.953681149907817,0.0196078431372549,0.9389500021934509,0.15884730804761252,0.8949999809265137,0.35834928817749023
37,FASHION,mlp,Control,FASHION,9.855234610786438,0.10881351250969422,50,10.05770704481108,0.03855835465030459,-5.251065193546654,0.0196078431372549,0.940583348274231,0.15443571918010712,0.8910999894142151,0.39014351263046265
38,FASHION,mlp,Control,FASHION,9.906962367318615,0.10563468170556302,50,10.093973814729381,0.03542989925893108,-5.2783510910950415,0.0196078431372549,0.9387666583061218,0.15630951368808746,0.8902999758720398,0.3590223622202873
39,FASHION,mlp,Control,FASHION,9.895838210559797,0.10631549064711183,50,10.11418193177234,0.035729390949455486,-6.111039550643964,0.0196078431372549,0.9381166696548462,0.15937908170223236,0.8902999758720398,0.38599860740602016
40,FASHION+DROPOUT,mlp,Dropout,FASHION,9.703684219787098,0.11832185220590807,50,10.05232489015845,0.03978821750249502,-8.762409885526798,0.0196078431372549,0.8622000217437744,0.3890206619421641,0.8707000017166138,0.3715419969558716
41,FASHION+DROPOUT,mlp,Dropout,FASHION,9.678601834709522,0.11992425171192866,50,10.042385948765375,0.024394764353458744,-14.912384837374967,0.0196078431372549,0.8618833422660828,0.38821803884506223,0.8751000165939331,0.3630576370239258
42,FASHION+DROPOUT,mlp,Dropout,FASHION,9.729724199926515,0.11666701714374554,50,10.057365448593119,0.03799840275475633,-8.622500550384112,0.0196078431372549,0.8608166575431824,0.39037477884292604,0.8684999942779541,0.36934194350242616
43,FASHION+DROPOUT,mlp,Dropout,FASHION,9.720588691084531,0.1172465671243803,50,10.079428192381787,0.035005257891762065,-10.251017215950952,0.0196078431372549,0.8639333248138428,0.38212346965471905,0.8711000084877014,0.36342522735595706
44,FASHION+DROPOUT,mlp,Dropout,FASHION,9.65903861539712,0.12117983361569952,50,10.028840831506589,0.03403650591921593,-10.864870118782948,0.0196078431372549,0.8601999878883362,0.3917413520971934,0.8738999962806702,0.361630366897583
