,model,network_type,Network,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
10,CNN-VGG-CIFAR10+L2REG,cnn,L2 Reg,8.597810215230501,0.19785210999090944,50,1.546017342778111,0.1826058153968526,38.61757007643435,1.0,0.9584938883781433,0.39847072914922244,0.9031999707221985,0.6198995841454856
11,CNN-VGG-CIFAR10+L2REG,cnn,L2 Reg,8.566124018942723,0.200433473380946,50,1.8212264671006881,0.1969170523896952,34.25248077801819,1.0,0.958152711391449,0.3977181381553737,0.9023000001907349,0.6165254504620274
12,CNN-VGG-CIFAR10+L2REG,cnn,L2 Reg,8.114011254017202,0.23946163151171795,50,2.7329187233438743,0.21005364455529094,25.617706096296274,1.0,0.9570287466049194,0.401156875018363,0.8881999850273132,0.6622192184381848
13,CNN-VGG-CIFAR10+L2REG,cnn,L2 Reg,8.576910705638811,0.19955257853569064,50,2.0830636946918637,0.18338734266617188,35.41055187635269,1.0,0.9566072821617126,0.40969151202003085,0.8921999931335449,0.6483474298368527
14,CNN-VGG-CIFAR10+L2REG,cnn,L2 Reg,8.887410631938137,0.17511227380877079,50,2.3384760242837457,0.19915339299908835,32.88387161791599,1.0,0.9581727385520935,0.4057893603753033,0.90829998254776,0.5821610689163208
15,CNN-VGG-CIFAR10+DROPOUT,cnn,Dropout,8.889903704429084,0.17492294624189342,50,8.303850147414527,0.0784804555519947,7.467509622523609,1.0,0.9053978323936462,0.6848685418255328,0.9014000296592712,0.6970573565627955
16,CNN-VGG-CIFAR10+DROPOUT,cnn,Dropout,8.978272931394072,0.1682799738711407,50,8.239837339071142,0.11460578587528512,6.443266251203935,1.0,0.9023036956787109,0.6813054233025282,0.8999999761581421,0.6998458919645865
17,CNN-VGG-CIFAR10+DROPOUT,cnn,Dropout,8.925314479128,0.17224522049403437,50,8.243162576818683,0.1370526893984433,4.97729672656146,1.0,0.9042549133300781,0.6840646803512916,0.8913999795913696,0.725089478341839
18,CNN-VGG-CIFAR10+DROPOUT,cnn,Dropout,8.770884662041123,0.18408150730415665,50,8.368936021477914,0.09091553944643675,4.421121438761503,1.0,0.9039820432662964,0.682530564915774,0.8931999802589417,0.7324110850503173
19,CNN-VGG-CIFAR10+DROPOUT,cnn,Dropout,8.657422102193966,0.19304695198810723,50,8.259618311464255,0.16274700690866906,2.44430787567695,0.9607843137254902,0.9018086194992065,0.688257564326529,0.8963000178337097,0.7152898032453996
20,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg",8.581503524865234,0.19917817811468252,50,8.255182378979931,0.07273553108648319,4.486406313543012,1.0,0.8979005813598633,0.7508682548502124,0.892799973487854,0.7849904555308668
21,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg",8.98601639236805,0.16770410135194996,50,8.211812780245994,0.1136702062729512,6.81096337823999,1.0,0.9025641083717346,0.7286835458034124,0.8989999890327454,0.7315336239488819
22,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg",8.056206399160699,0.24476741318656933,50,8.19061749200932,0.12784968121867202,-1.0513212983200697,0.0784313725490196,0.9017083644866943,0.738469755722232,0.8896999955177307,0.781333556658105
23,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg",8.09562763137353,0.24114080750796843,50,8.254734661429302,0.08277960525758356,-1.9220559165591786,0.0392156862745098,0.8997195363044739,0.7455124393487588,0.9023000001907349,0.7335671571236623
24,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg",8.053187269564202,0.24504662553621334,50,8.318194103133855,0.10575310347633114,-2.5059012441083173,0.0196078431372549,0.898640513420105,0.7407199582458499,0.9042999744415283,0.7238337035420574
25,CNN-VGG-CIFAR10+MOD-INIT,cnn,Clusterable Init,8.52138794714238,0.2041106492531045,50,3.5416435969393563,0.2279623513180844,21.844591097652785,1.0,0.9582932591438293,0.3967326932948562,0.8955000042915344,0.6355052707316
26,CNN-VGG-CIFAR10+MOD-INIT,cnn,Clusterable Init,8.57741267262653,0.19951163934878186,50,3.424849502353273,0.2441044389053878,21.108027340176037,1.0,0.9543994665145874,0.410511342508332,0.901199996471405,0.6377335892447943
27,CNN-VGG-CIFAR10+MOD-INIT,cnn,Clusterable Init,8.346637496987608,0.21885235247912288,50,4.566827365181436,0.1982123993451616,19.069493857566975,1.0,0.9580724239349365,0.4022103568722058,0.8967999815940857,0.6242501965806454
