,model,network_type,Network,Dataset,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
27,CNN-STACKED-MNIST,cnn,Stacked Diff,MNIST,10.59446134414752,0.06633365350985551,50,10.630247968188224,0.019249585311122266,-1.8590854536500683,0.0392156862745098,0.9789166450500488,0.058802633686239524,0.9157000184059143,0.37385001195669176
28,CNN-STACKED-MNIST,cnn,Stacked Diff,MNIST,10.564911348743925,0.06791768543456328,50,10.544462164537135,0.0238751089319098,0.856506425378382,0.803921568627451,0.9797166585922241,0.059396312672644856,0.9115999937057495,0.3985619214989245
29,CNN-STACKED-MNIST,cnn,Stacked Diff,MNIST,10.535171852985892,0.06952084728446765,50,10.590262694129237,0.021427464729555274,-2.571038703769621,0.0392156862745098,0.9765833616256714,0.06757845600222548,0.9106000065803528,0.3899583568572998
30,CNN-STACKED-SAME-MNIST,cnn,Stacked Same,MNIST,10.683279037912003,0.061625319221529196,50,10.67932831446039,0.01633067312467002,0.24192042921028015,0.5686274509803921,0.9989666938781738,0.0032355264453361988,0.9983000159263611,0.005024260489850667
31,CNN-STACKED-SAME-MNIST,cnn,Stacked Same,MNIST,10.707596515844672,0.0603498405194331,50,10.67398288572474,0.01457327104343386,2.30652610657901,1.0,0.9990666508674622,0.003183098605106548,0.9962999820709229,0.012807585506713667
32,CNN-STACKED-SAME-MNIST,cnn,Stacked Same,MNIST,10.691363363765365,0.0612006435339108,50,10.669369248124578,0.020014021934233184,1.0989353220987013,0.9019607843137255,0.9990833401679993,0.002694069244855144,0.9988999962806702,0.004344039424539238
33,CNN-STACKED-SAME-MNIST,cnn,Stacked Same,MNIST,10.703235630584773,0.06057814730854325,50,10.687433528004936,0.018001590757374952,0.8778170103307722,0.8627450980392157,0.9992499947547913,0.002883819936180663,0.9991000294685364,0.004919331557464414
34,CNN-STACKED-SAME-MNIST,cnn,Stacked Same,MNIST,10.725385568561304,0.059420448024493325,50,10.684769159273685,0.013927659302823338,2.916240870379803,1.0,0.9983833432197571,0.0047314411433365304,0.998199999332428,0.007985283227977823
35,CNN-FASHION,cnn,Control,FASHION,10.669828896571321,0.06233329120470341,50,10.68794051395098,0.016908706120024358,-1.0711415321253164,0.19607843137254902,0.9810500144958496,0.05047702946222077,0.9197999835014343,0.3395522751092911
36,CNN-FASHION,cnn,Control,FASHION,10.637661467390306,0.06403374166333158,50,10.653058785324031,0.020821237900906384,-0.7395006006369776,0.3137254901960784,0.9833666682243347,0.04590352918741604,0.9218000173568726,0.3692223797082901
37,CNN-FASHION,cnn,Control,FASHION,10.621615003891481,0.0648858481315466,50,10.64496603793976,0.018086648616204036,-1.29106472646117,0.11764705882352941,0.9825166463851929,0.0485882431363066,0.9272000193595886,0.3224678524971008
38,CNN-FASHION,cnn,Control,FASHION,10.62611947931887,0.06464638965122925,50,10.687615034714192,0.018158223126175505,-3.3866504981246925,0.0196078431372549,0.9826833605766296,0.047457374821479124,0.9211000204086304,0.31896065332889556
39,CNN-FASHION,cnn,Control,FASHION,10.66115880709891,0.06279060358849545,50,10.682966213089323,0.018466794164580712,-1.1808983083939086,0.11764705882352941,0.9828500151634216,0.04671863424566885,0.9208999872207642,0.35771818680763245
40,CNN-FASHION+DROPOUT,cnn,Dropout,FASHION,10.590951291701602,0.06652134777555059,50,10.622594641268034,0.02051346776810183,-1.5425646177501326,0.09803921568627451,0.9208499789237976,0.21407379849354427,0.9217000007629395,0.2230998334169388
41,CNN-FASHION+DROPOUT,cnn,Dropout,FASHION,10.598593583911985,0.0661128481337026,50,10.655256640540415,0.01966655321262128,-2.8811889920835747,0.0196078431372549,0.9226499795913696,0.20998250499169033,0.9246000051498413,0.20708819150924682
42,CNN-FASHION+DROPOUT,cnn,Dropout,FASHION,10.613672204705969,0.06530858352113754,50,10.667773489389967,0.020819993169100475,-2.5985255732115964,0.0196078431372549,0.9214166402816772,0.21278866153955459,0.9265000224113464,0.204962681889534
43,CNN-FASHION+DROPOUT,cnn,Dropout,FASHION,10.632722418412772,0.06429574326230421,50,10.63071207092229,0.017854036997174496,0.11259904361131598,0.5294117647058824,0.9236999750137329,0.20856921587785085,0.9271000027656555,0.20679392619132997
44,CNN-FASHION+DROPOUT,cnn,Dropout,FASHION,10.636900044818985,0.06407411696253333,50,10.655602640437193,0.015528463361743367,-1.204407363595607,0.13725490196078433,0.9227833151817322,0.20955515475273132,0.9239000082015991,0.2040800567626953
45,CNN-FASHION+L1REG,cnn,L1 Reg,FASHION,10.272535362420905,0.08408170800260877,50,7.728470319352648,0.09630481487371255,26.41680009877354,1.0,0.9402833580970764,0.278597293361028,0.90829998254776,0.35913621196746826
46,CNN-FASHION+L1REG,cnn,L1 Reg,FASHION,9.946883575015462,0.10320400402300607,50,7.463020374127348,0.10222374697527065,24.298299312869013,1.0,0.9379833340644836,0.2756802870750427,0.9107999801635742,0.3612699970006943
47,CNN-FASHION+L1REG,cnn,L1 Reg,FASHION,10.04098127827182,0.09755115896727136,50,7.487914028969872,0.0939332205891279,27.179598796780187,1.0,0.9375666379928589,0.2775901982784271,0.9150000214576721,0.3453453543663025
48,CNN-FASHION+L1REG,cnn,L1 Reg,FASHION,9.979543908673005,0.10122988133611299,50,7.439217144033919,0.11574052782666405,21.94846362238423,1.0,0.9391499757766724,0.27524259327252704,0.9197999835014343,0.3348847936153412
49,CNN-FASHION+L1REG,cnn,L1 Reg,FASHION,9.667807806782864,0.12061639204189015,50,7.320370107712838,0.11808163797722845,19.879786047028915,1.0,0.9376000165939331,0.2708067461013794,0.910099983215332,0.3554531944870949
50,CNN-FASHION+L2REG,cnn,L2 Reg,FASHION,9.690519058549528,0.11916188015815911,50,10.55564089186621,0.022103412314203954,-39.139741005543414,0.0196078431372549,0.9726999998092651,0.13700383149385453,0.9261999726295471,0.32591531410217284
51,CNN-FASHION+L2REG,cnn,L2 Reg,FASHION,8.676378382623522,0.19153277270806957,50,10.554752842922063,0.025038204466240763,-75.02033393932743,0.0196078431372549,0.972683310508728,0.13708645943800607,0.9189000129699707,0.3282325131893158
52,CNN-FASHION+L2REG,cnn,L2 Reg,FASHION,9.771146476456536,0.11405281503628363,50,10.612329346185682,0.018417788585619117,-45.67230565269674,0.0196078431372549,0.9717666506767273,0.1370151618719101,0.9241999983787537,0.3220508458137512
53,CNN-FASHION+L2REG,cnn,L2 Reg,FASHION,8.613697225622456,0.19656499907522804,50,10.568163811065645,0.026058890387024494,-75.00191130227006,0.0196078431372549,0.9715999960899353,0.1386870057940483,0.9244999885559082,0.3090030403494835
54,CNN-FASHION+L2REG,cnn,L2 Reg,FASHION,9.761730072943417,0.11464514539591684,50,10.597914317290522,0.024242429357624905,-34.49259280131109,0.0196078431372549,0.9733999967575073,0.13648241664568583,0.9194999933242798,0.34163902115821837
